year,total_works,n_scopus,n_wos,n_medline,n_wos_after_deindex,n_scopus_after_deindex,n_medline_after_deindex,n_scopus_deindex,n_wos_deindex,n_medline_deindex,n_wos_journals,n_scopus_journals,n_medline_journals,n_journals,n_retracted,n_retracted_journals,n_paper_mill,n_paper_mill_journals,n_paper_mill_retracted,n_wos_paper_mill_journals,n_paper_mill_wos,n_scopus_paper_mill_journals,n_paper_mill_scopus,n_medline_paper_mill_journals,n_paper_mill_medline
1847,10735,8162,8041,7841,0,0,0,0,122,121,28,32,13,63,0,0,0,0,0,0,0,0,0,0,0
1848,10750,7908,7831,7430,0,0,0,0,322,316,26,28,11,66,0,0,0,0,0,0,0,0,0,0,0
1849,9877,7078,6977,6656,0,0,0,0,243,483,26,30,11,71,0,0,0,0,0,0,0,0,0,0,0
1850,11575,8737,8650,8416,0,0,0,0,246,2918,25,27,11,66,0,0,0,0,0,0,0,0,0,0,0
1851,11707,8796,8741,7900,0,0,0,0,212,3025,27,30,12,72,0,0,0,0,0,0,0,0,0,0,0
1852,12451,9892,9803,9019,0,0,0,0,224,3892,29,30,12,71,0,0,0,0,0,0,0,0,0,0,0
1853,12885,9594,9416,8832,0,0,0,0,248,3666,32,38,15,87,0,0,0,0,0,0,0,0,0,0,0
1854,13257,9482,9467,8713,0,0,0,0,343,3178,35,38,13,90,0,0,0,0,0,0,0,0,0,0,0
1855,13455,9582,9188,8483,0,0,0,0,189,3091,30,37,16,84,0,0,0,0,0,0,0,0,0,0,0
1856,14111,10011,9748,9229,0,0,0,0,388,3492,33,38,16,86,0,0,0,0,0,0,0,0,0,0,0
1857,14594,10259,9944,9174,0,0,0,0,386,3470,36,45,20,99,0,0,0,0,0,0,0,0,0,0,0
1858,13989,10114,9592,9027,0,0,0,0,337,3408,38,48,20,98,0,0,0,0,0,0,0,0,0,0,0
1859,14015,10123,9736,8975,0,0,0,0,363,3536,40,49,18,102,0,0,0,0,0,0,0,0,0,0,0
1860,13205,9641,9289,8727,0,0,0,1,469,3127,42,50,19,104,0,0,0,0,0,0,0,0,0,0,0
1861,12144,8850,8375,7991,0,0,0,0,314,3171,38,50,17,97,0,0,0,0,0,0,0,0,0,0,0
1862,13089,9528,9299,8634,0,0,0,1,493,3609,41,50,21,98,0,0,0,0,0,0,0,0,0,0,0
1863,13776,9947,9488,8788,0,0,0,0,470,3670,47,57,21,112,0,0,0,0,0,0,0,0,0,0,0
1864,12599,9405,8691,8108,0,0,0,0,385,3189,49,63,23,117,0,0,0,0,0,0,0,0,0,0,0
1865,11602,8597,8088,7088,0,0,0,0,388,2349,54,64,25,121,0,0,0,0,0,0,0,0,0,0,0
1866,13891,10176,9649,8947,0,0,0,1,358,3626,55,67,25,123,0,0,0,0,0,0,0,0,0,0,0
