PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34361632","Green Synthesis of Silver Nanoparticles by Extracellular Extracts from Aspergillus japonicus PJ01","Li PJ, Pan JJ, Tao LJ, Li X, Su DL, Shan Y, Li HY.","Molecules. 2021 Jul 24;26(15):4479. doi: 10.3390/molecules26154479.","Li PJ","Molecules","2021","2021/08/07","PMC8348879","","10.3390/molecules26154479"
"34443574","Green Synthesis of Silver Nanoparticles Using Natural Extracts with Proven Antioxidant Activity","Flieger J, Franus W, Panek R, Szymańska-Chargot M, Flieger W, Flieger M, Kołodziej P.","Molecules. 2021 Aug 17;26(16):4986. doi: 10.3390/molecules26164986.","Flieger J","Molecules","2021","2021/08/27","PMC8398508","","10.3390/molecules26164986"
"33825663","Green synthesis of silver nanoparticles from plant latex and their antibacterial and photocatalytic studies","Chandhru M, Logesh R, Kutti Rani S, Ahmed N, Vasimalai N.","Environ Technol. 2022 Aug;43(20):3064-3074. doi: 10.1080/09593330.2021.1914181. Epub 2021 May 2.","Chandhru M","Environ Technol","2022","2021/04/07","","","10.1080/09593330.2021.1914181"
"36135747","Synthesis of Bioactive Silver Nanoparticles Using New Bacterial Strains from an Antarctic Consortium","John MS, Nagoth JA, Ramasamy KP, Mancini A, Giuli G, Miceli C, Pucciarelli S.","Mar Drugs. 2022 Aug 31;20(9):558. doi: 10.3390/md20090558.","John MS","Mar Drugs","2022","2022/09/22","PMC9505403","","10.3390/md20090558"
"27825269","A review on green synthesis of silver nanoparticles and their applications","Rafique M, Sadaf I, Rafique MS, Tahir MB.","Artif Cells Nanomed Biotechnol. 2017 Nov;45(7):1272-1291. doi: 10.1080/21691401.2016.1241792. Epub 2016 Nov 8.","Rafique M","Artif Cells Nanomed Biotechnol","2017","2016/11/10","","","10.1080/21691401.2016.1241792"
"33539998","Plant-mediated green synthesis of metal-based nanoparticles for dermopharmaceutical and cosmetic applications","Paiva-Santos AC, Herdade AM, Guerra C, Peixoto D, Pereira-Silva M, Zeinali M, Mascarenhas-Melo F, Paranhos A, Veiga F.","Int J Pharm. 2021 Mar 15;597:120311. doi: 10.1016/j.ijpharm.2021.120311. Epub 2021 Feb 1.","Paiva-Santos AC","Int J Pharm","2021","2021/02/04","","","10.1016/j.ijpharm.2021.120311"
"32951580","Pharmaceutical Aspects of Green Synthesized Silver Nanoparticles: A Boon to Cancer Treatment","Mishra V, Nayak P, Singh M, Tambuwala MM, Aljabali AA, Chellappan DK, Dua K.","Anticancer Agents Med Chem. 2021;21(12):1490-1509. doi: 10.2174/1871520620666200918111024.","Mishra V","Anticancer Agents Med Chem","2021","2020/09/21","","","10.2174/1871520620666200918111024"
"36847984","Green Synthesis of Silver Nanoparticles Using Salvadora persica and Caccinia macranthera Extracts: Cytotoxicity Analysis and Antimicrobial Activity Against Antibiotic-Resistant Bacteria","Khojasteh-Taheri R, Ghasemi A, Meshkat Z, Sabouri Z, Mohtashami M, Darroudi M.","Appl Biochem Biotechnol. 2023 Aug;195(8):5120-5135. doi: 10.1007/s12010-023-04407-y. Epub 2023 Feb 27.","Khojasteh-Taheri R","Appl Biochem Biotechnol","2023","2023/02/27","","","10.1007/s12010-023-04407-y"
"20669257","Biotemplates in the green synthesis of silver nanoparticles","Vijayaraghavan K, Nalini SP.","Biotechnol J. 2010 Oct;5(10):1098-110. doi: 10.1002/biot.201000167.","Vijayaraghavan K","Biotechnol J","2010","2010/07/30","","","10.1002/biot.201000167"
"33562781","Green Silver and Gold Nanoparticles: Biological Synthesis Approaches and Potentials for Biomedical Applications","Rónavári A, Igaz N, Adamecz DI, Szerencsés B, Molnar C, Kónya Z, Pfeiffer I, Kiricsi M.","Molecules. 2021 Feb 5;26(4):844. doi: 10.3390/molecules26040844.","Rónavári A","Molecules","2021","2021/02/10","PMC7915205","","10.3390/molecules26040844"
"37733373","Tannin-Assisted Synthesis of Nanocomposites Loaded with Silver Nanoparticles and Their Multifunctional Applications","Xia M, Jiang W, Wu C, Wang C, Yoo CG, Liu Y, Lyu G.","Biomacromolecules. 2023 Nov 13;24(11):5194-5206. doi: 10.1021/acs.biomac.3c00737. Epub 2023 Sep 21.","Xia M","Biomacromolecules","2023","2023/09/21","","","10.1021/acs.biomac.3c00737"
